ID / NO URUT,OWNER,ALAMAT OWNER,SITE ID,SITE SAP,SITE NAME,LONGITUDE,LATTITUDE,TINGGI MENARA (m),TINGGI BANGUNAN (m),JUMLAH PENGGUNA,JUMLAH KAKI/LEGS,ALAMAT MENARA,TOWER TYPE,SITE TYPE,NO IJIN,TANGGAL IJIN,BERLAKU HINGGA,JENIS IJIN (IMB/PBG),STATUS IJIN,PRS,PRS ID
1,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Diwak,110.4264733,-7.196965,52,,3,4,Kenangkan Rt.01/Rw.07  Bergas Kidul Bergas Semarang Semarang 50241,,,,,,,,,
2,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,BANDUNGAN,110.36098,-7.22226,32,,0,4,Jl.Trunojoyo/ Tirtomoyo  Ds Bandungan Semarang Semarang Semarang 50243,,,,,,,,,
3,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,UNGARAN,110.40904,-7.14966,37,,1,4,Jl. Diponegoro No.255 Kel Gedanganak,,,,,,,,,
4,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Somagawe,110.46454,-7.36683,72,,3,4,"RT.3 RW.05 Dsn Rajan  Ds.Sumogawe Kec.Getasan, Semarang Semarang 50241",,,,,,,,,
5,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Brangkal,110.49538,-7.25149,30,,3,4,Sombron RT 001/RW 002  Kel.Tlomplakan Kec.Tuntang Semarang Semarang 50773,,,,,,,,,
6,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,TEMPURANUNGARAN,110.5918083,-7.2069817,72,,1,4,"Jl. Cekelan RT 05 RW II Kel. Tempuran Kec. Bringin Kab. Semarang, Jawa Tengah",,,,,,,,,
7,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,SUKORINI BANDUNGA,110.3601,-7.22513,42,,2,4,Dusun Golak RT.003/RW.007  Ds Kenteng Bandungan Semarang Semarang 50241,,,,,,,,,
8,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KALIMOSODOBANDU,110.37659,-7.22293,62,,4,4,"Dusun Ngunut RT,002/RW,001 Desa Jetis Kec, Bandungan Kab, Semarang",,,,,,,,,
9,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,SugionoUNR,110.41711,-7.12171,42,,4,4,Susukan Krajan RT.001/RW.004  Susukan Ungaran Timur Semarang Semarang 50241,,,,,,,,,
10,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KALIREJO CITY,110.42223,-7.13037,42,,3,4,Jl. Jatiraya RT 03 RW 01 No. 55 Kalirejo Ungaran Timur Semarang Semarang 50241,,,,,,,,,
