,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,,,,,,,
,,,1,bangjo assalamah,"-7.121637,110.408685",,Tiang 1.jpg,,,,,,,,
,,,2, Depan BPN binsani,"-7.121637,110.408685",2 isp asalamah masuk.heic,Tiang 2.jpg,,,,,,,,
,,,3,Seberang perabot rumah,"-7.122316,110.408970",3 isp asalamah masuk.heic,Tiang 3.jpg,,,,,,,,
,,,4,Depan pet center,"-7.1225549, 110.4091497",4 isp asalamah masuk.heic,Tiang 4.jpg,,,,,,,,
,,,5,sebelah pet center,"-7.122705,110.409220",5 isp asalamah masuk.heic,Tiang 5.jpg,,,,,,,,
,,,6,Depan rocket chicken,"-7.123014,110.409316 ",6 isp asalamah masuk.heic,Tiang 6.jpg,,,,,,,,
,,,7,Depan bengkel,"-7.123458,110.409421",7 isp assalamah masuk.heic,Tiang 7.jpg,,,,,,,,
,,,8,Depan pentol,"-7.123587,110.409419",8 isp asalamah masuk.heic,Tiang 8.jpg,,,,,,,,
,,,9,Depan salon,"-7.123825,110.409420",9 isp asalamah masuk.heic,Tiang 9.jpg,,,,,,,,
,,,10,Depan alfamart,"-7.124198,110.409360",10 isp asalamah masuk.heic,Tiang 10.jpg,,,,,,,,
,,,11,Seberang konter HP,"-7.124937,110.409169",11 isp asalamah masuk.heic,Tiang 11.jpg,,,,,,,,
,,,12,Seberang Smartfren,"-7.125147,110.409056",12 isp asalamah masuk.heic,Tiang 12.jpg,,,,,,,,
,,,13,seberang masjid,"-7.125618,110.408931",13 isp asalamah masuk.heic,Tiang 13.jpg,,,,,,,,
,,,14,Depan murbaut,"-7.126059,110.408861",14 isp asalamah masuk.heic,Tiang 14.jpg,,,,,,,,
,,,15,Seberang kantor koperasi,"-7.126882,110.409040",15 isp asalamah masuk.heic,Tiang 15.heic,,,,,,,,
,,,16,Depan toko cat,"-7.127912,110.409143",16 isp asalamah masuk.heic,,,,,,,,,
,,,17,Depan indomaret,"-7.128321,110.409104",17 isp asalamah masuk.heic,,,,,,,,,
,,,18,Depan cuci mobil,"-7.133009,110.409425",18 isp asalamah masuk.heic,,,,,,,,,
,,,19,Depan konter HP,"-7.133478,110.409483",19 isp asalamah masuk.heic,Tiang 19.jpg,,,,,,,,
,,,20,Depan kantor bupati,"-7.134349,110.409569",20 isp asalamah masuk.heic,Tiang 20.jpg,,,,,,,,
,,,21,Depan masjid agung (belum fix),"-7.134766,110.409603 ",21 isp asapamah masuk.heic,Tiang 21.jpg,,,,,,,,
,,,22,Depan masjid agung (belum fix),"-7.135145,110.409630",22 isp asalamah masuk.heic,Tiang 22.jpg,,,,,,,,
,,,23,depan karen chicken,"-7.135534,110.409671",23 isp asalamah masuk.heic,Tiang 23.jpg,,,,,,,,
,,,24,Depan sop iga,"-7.135895,110.409749",24 isp asalamah masuk.heic,Tiang 24.jpg,,,,,,,,
,,,25,Bangjo perempatan,"-7.136353,110.409863",25 isp asalamah masuk.heic,Tiang 25.jpg,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,,,,,,,
,,,1,Depan alfamart,"-7.134151,110.409469",,,,,,,,,,
,,,2,Seberang konter HP,"-7.133549,110.409432",[URL],[URL],,,,,,,,
,,,3,Depan warung makan,"-7.132450,110.409359",[URL],[URL],,,,,,,,
,,,4,Seberang wingly,"-7.132204,110.409355",[URL],[URL],,,,,,,,
,,,5,Depan teras bali,"-7.131876,110.409313",[URL],[URL],,,,,,,,
,,,6,Seberang Bebek goreng,"-7.131485,110.409313",[URL],[URL],,,,,,,,
,,,7,Depan pom bensin,"-7.131018,110.409198",[URL],[URL],,,,,,,,
,,,8,Depan pom bensin,"-7.130702,110.409073",[URL],[URL],,,,,,,,
,,,9, Seberang toko keramik,"-7.130478,110.409009",[URL],[URL],,,,,,,,
,,,10,Seberang konter HP,"-7.130212,110.408898",[URL],[URL],,,,,,,,
,,,11,Depan apotek,"-7.129559,110.408920",,,,,,,,,,
,,,12,Depan KPU,"-7.129241,110.408951",,,,,,,,,,
,,,13,Seberang Indomaret,"-7.128348,110.409010",,,,,,,,,,
,,,14,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,,,,,,,
,,,1,Depan solafide school,"-7.1199965, 110.4051280",isp 1.jpg,tiang 1.jpg,-,,,,,,,
,,,2,Sebelah jembatan,"-7.119650, 110.406782",isp 2.jpg,tiang 2.jpg,-,,,,,,,
,,,3,Depan masjid Al-Ikhlas,"-7.1195520, 110.4072228",isp 3.jpg,tiang 3.jpg,jb 3.jpg,,,,,,,
,,,4,Depan TB Utama Karya,"-7.1196019, 110.4076751",isp 4.jpg,tiang 4.jpg,-,,,,,,,
,,,5,Depan gang masuk Kel Bandarjo,"-7.1202553, 110.4079544",isp 5.jpg,tiang 5.jpg,jb 5.jpg,,,,,,,
,,,6,Depan ungaran AC,"-7.1204696, 110.4082991",isp 6.jpg,tiang 6.jpg,jb 6.jpg,,,,,,,
,,,7,Depan radaz PS,"-7.1208455, 110.4084932",isp 7.jpg,tiang 7.jpg,-,,,,,,,
,,,8,Depan mushola Al-Khasanah,"-7.1205927, 110.4084748",-,tiang 8.jpg,jb 8.jpg,,,,,,,
,,,9,Seberang gang Kel Bandarjo,"-7.1202271, 110.4078750",isp 9.jpg,tiang 9.jpg,jb 9.jpg,,,,,,,
,,,10,Depan Toko Bu Danu,"-7.1197766, 110.4065127",isp 10.jpg,tiang 10.jpg,-,,,,,,,
,,,11,Depan Happy Holy Kids,"-7.1200644, 110.4050187",isp 11.jpg,tiang 11.jpg,jb 11.jpg,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,,,,,,,
,,,1,Samping bangjo,"-7.119389, 110.404131",-,tiang 1.jpg,jb 1.jpg,,,,,,,
,,,2,Depan alton town house,"-7.119290, 110.404319",-,tiang 2.jpg,jb 2.jpg,,,,,,,
,,,3,Depan SMK Bina Nusantara,"
-7.119127, 110.404602",-,tiang 3.jpg,-,,,,,,,
,,,4,Depan damkar,"-7.118948, 110.404937",-,tiang 4.jpg,jb 4.jpg,,,,,,,
,,,5,Depan DPU,"-7.118753, 110.405361",isp 5.jpg,tiang 5.jpg,-,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Nomor,Nama Lokasi,Koordinat,Gambar ISP,Gambar Tiang Penuh,Gambar JB,,,,,,,
,,,1,Pertigaan depan Dinkes,"-7.1287938, 110.4098330",-,Tiang 1.jpg,joint box 1.jpg,,,,,,,
,,,2,Depan Mr.Blue Laundry,"-7.1287841, 110.4091933",-,tiang 2.jpg,joint box 2.jpg,,,,,,,
,,,3,Depan Kel Ungaran,"-7.1287765, 110.4088969",isp 3.jpg,Tiang 3.jpg,joint box 3.jpg,,,,,,,
